PLAYER	TEAM	FP	PA	SACK	INT	FUMR	BLK	TO	INTTD	KRETTD	PRETTD
New York Jets	NYJ	35	28	0	3	3	0	4	1	0	1
Cleveland Browns	CLE	29	17	2	4	3	0	5	1	0	0
St. Louis Rams	STL	23	27	1	3	2	0	3	1	0	0
New England Patriots	NE	20	13	2	1	2	0	2	0	0	0
Denver Broncos	DEN	19	19	4	1	0	0	1	1	0	0
Philadelphia Eagles	PHI	19	16	2	4	2	0	4	0	0	0
Green Bay Packers	GB	17	30	4	0	1	0	0	0	0	1
Houston Texans	HOU	17	10	3	3	1	0	4	0	0	0
Miami Dolphins	MIA	15	30	2	0	1	0	0	0	0	1
Baltimore Ravens	BAL	14	16.1	1.7	1.04	0.74	0.22	1.78	0.07	0.02	0.04
Chicago Bears	CHI	13	21	3	3	2	0	5	0	0	0
Oakland Raiders	OAK	13	22.8	3.1	1.03	0.93	0.22	1.96	0.16	0.18	0.02
Arizona Cardinals	ARI	13	16	3	1	2	1	2	0	0	0
Indianapolis Colts	IND	12	41	2	1	0	0	1	1	0	0
Seattle Seahawks	SEA	12	20	1	1	2	0	2	0	0	0
Tampa Bay Buccaneers	TB	12	10	3	2	0	1	2	0	0	0
Washington Redskins	WAS	11	32	2	2	3	0	3	0	0	0
San Diego Chargers	SD	10	23	1.6	1.31	1.1	0.21	2.4	0.1	0.09	0.08
Carolina Panthers	CAR	10	16	2	0	2	0	0	0	0	0
Atlanta Falcons	ATL	9	24	3	2	1	0	3	0	0	0
Dallas Cowboys	DAL	8	17	3	0	1	0	1	0	0	0
Cincinnati Bengals	CIN	6	25.2	1.9	0.52	0.95	0.2	1.46	0.14	0.04	0.03
Detroit Lions	DET	6	23	3	0	0	0	0	0	0	0
Jacksonville Jaguars	JAC	6	26	2	0	2	0	1	0	0	0
Pittsburgh Steelers	PIT	5	31	2	0	2	0	1	0	0	0
San Francisco 49ers	SF	5	22	3	1	0	0	1	0	0	0
Minnesota Vikings	MIN	4	23	2	0	1	0	1	0	0	0
New York Giants	NYG	4	24	2	1	0	0	1	0	0	0
New Orleans Saints	NO	3	40	1	0	0	1	0	0	0	0
Tennessee Titans	TEN	0	34	1	0	0	0	0	0	0	0
Buffalo Bills	BUF	-2	48	0	1	0	0	1	0	0	0
Kansas City Chiefs	KC	-3	40	1	0	0	0	0	0	0	0
